City,Name,Working Hours,Location,Phone Number
Автопат Велес-Градско,Градско 2,00.00 - 24.00,автопат-Велес/Градско,3153121
Конче,Конче,07.00 - 14.00; Сабота 07.00 - 12.00; Недела не работи,м.в./Лакавици; 2424 Конче,3153126
Ресен,Јанковец,06.00 - 21.00; Недела 06.00 - 14.00,ул. Јосиф Јосифовски бр.236А; 7310 Ресен,3153128
Велес,Ашауа,00.00 - 24.00,автопат-Градско/Скопје; 1400 Велес,3153132
Штип,8-ми километар,06.00 - 18.00,бр. Делница Штип-Лакавица 8-ми км; 2000 Штип,3153133
Јегуновце,Јегуновце,07.30 - 19.00; Недела не работи,101 бр.2; 1215 Јегуновце,3153134
Охрид,Велгошти,00.00 - 24.00,ул. 15-ти Корпус бр.154; 6000 Охрид,3153135
Делчево,Делчево 2,00.00 - 24.00,Булевар Македонија бр.1В; 2320 Делчево,3153138
Автопат Скопје-Куманово,Дељадровци,00.00 - 24.00,автопат-Скопје/Куманово; 1041 Илинден,3153139
Крива Паланка,Крива Паланка 2,00.00 - 24.00,ул. Григор Прличев бр.2; 1330 Крива Паланка,3153142
Скопје,Ново Лисиче,00.00 - 24.00,ул. Февруарски поход бр.44; 1000 Скопје,3153143
Скопје,Транспортен центар,00.00 - 24.00,ул. Никола Карев бр.20; 1000 Скопје,3153144
Штип,Штип 3,06.00 - 22.00,ул. Партизанска бр.35-А; 2000 Штип,3153145
Струга,Стружанка,06.00 - 22.00,ул. Туристичка бр.61; Струга,3153146
Скопје,Илинден,00.00 - 24.00,ул. 8; бр.2Г; 1041 Илинден,3153148
Гевгелија,Гевгелија,00.00 - 24.00,ул. Борис Кидрич бр.13; 1480 Гевгелија,3153152
Скопје,Идризово,00.00 - 24.00,ул.2 бр.238; Идризово; Гази Баба; 1000 Скопје,3153153
Прилеп,Бучила,00.00 - 24.00,Магистрален пат Прилеп/Битола; 7500 Прилеп,3153163
Неготино,Неготино,00.00 - 24.00,ул. Железничка бр.12; 1440 Неготино,3153164
Вевчани,Вевчани,00.00 - 24.00,Населено место без уличен систем; Вевчани,3153168
Скопје,Ќојлија,00.00 - 24.00,ул.6 бр.18; Ќојлија; 1043 Петровец,3153169
Скопје,Пинтија,"00,00 - 24,00",Булевар Борис Трајковски бр.133Б; 1000 Скопје,3153182
Тетово,Желино,00.00 - 24.00,ул. Скопски Пат бр.1; Тетово,3153192
